AppID;Name;Release date;Estimated owners;Peak CCU;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Metacritic score;Positive;Negative;Achievements;Recommendations;Notes;Average playtime forever;Developers;Tags
20200;Galactic Bowling;21.10.2008;0 - 20000;0;0;19.99;0;['English'];http://www.galacticbowling.net;1;0;0;0;6;11;30;0;;0;Perpetual FX Creative;Indie,Casual,Sports,Bowling
655370;Train Bandit;12.10.2017;0 - 20000;0;0;0.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese'];http://trainbandit.com;1;1;0;0;53;5;12;0;;0;Rusty Moyher;Indie,Action,Pixel Graphics,2D,Retro,Arcade,Score Attack,Minimalist,Comedy,Singleplayer,Fast-Paced,Casual,Funny,Parody,Difficult,Gore,Violent,Western,Controller,Blood
1732930;Jolt Project;17.11.2021;0 - 20000;0;0;4.99;0;['English', 'Portuguese - Brazil'];;1;0;0;0;0;0;0;0;;0;Campião Games;
1355720;Henosis™;23.07.2020;0 - 20000;0;0;5.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese'];https://henosisgame.com/;1;1;1;0;3;0;0;0;;0;Odd Critter Games;2D Platformer,Atmospheric,Surreal,Mystery,Puzzle,Survival,Adventure,Linear,Singleplayer,Experimental,Platformer,Precision Platformer,Puzzle-Platformer,2D,Stylized,Physics,Time Manipulation,Casual,Indie
1139950;Two Weeks in Painland;03.02.2020;0 - 20000;0;0;0;0;['English', 'Spanish - Spain'];https://www.unusual-games.com/home/;1;1;0;0;50;8;17;0;This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: violence, general Mature Content.;0;Unusual Games;Indie,Adventure,Nudity,Violent,Sexual Content,Story Rich
1469160;Wartune Reborn;26.02.2021;50000 - 100000;68;0;0;0;['English'];;1;0;0;0;87;49;0;0;;0;7Road;Turn-Based Combat,Massively Multiplayer,Multiplayer,RPG,Tactical RPG,Exploration,PvP,MMORPG,Turn-Based Strategy,God Game,Strategy,2.5D,Magic,Medieval,Mythology,Class-Based,Turn-Based Tactics,Singleplayer,Online Co-Op,Co-op
1659180;TD Worlds;09.01.2022;0 - 20000;3;0;10.99;1;['English', 'Russian', 'Danish'];;1;0;0;0;21;7;62;0;;0;MAKSIM VOLKAU;Tower Defense,Rogue-lite,RTS,Replay Value,Perma Death,2D,Isometric,Difficult,Rogue-like,Dynamic Narration,Stylized,Real Time Tactics,Strategy,Minimalist,Abstract,Tactical,Atmospheric,Singleplayer,Sci-fi,Mystery
1968760;Legend of Rome - The Wrath of Mars;05.05.2022;0 - 20000;2;0;9.99;0;['English', 'German'];http://magnussoft.biz/;1;0;0;0;0;0;0;0;;0;magnussoft;
1178150;MazM: Jekyll and Hyde;02.04.2020;0 - 20000;1;0;14.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean'];http://www.cfk.kr/;1;0;0;0;76;6;25;0;;0;Growing Seeds;Adventure,Simulation,RPG,Strategy,Singleplayer,Classic
320150;Deadlings: Rotten Edition;11.11.2014;50000 - 100000;0;0;3.99;0;['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Japanese'];http://www.omlgames.com;1;1;1;0;225;45;32;0;;703;ONE MORE LEVEL;Action,Indie,Adventure,Puzzle-Platformer,Arcade,Zombies
